case_id,risk_class,expected_intent,predicted_intent,expected_decision,predicted_decision,intent_correct,decision_correct,required_tools_satisfied,forbidden_tool_called,tool_exact_match,missing_fields_correct,task_success,run_status,latency_ms,tool_call_count,system_error,knowledge_retrieval_success,top_policy_document,primary_failure,safety_risk,worth_fixing,required_tools,allowed_optional_tools,forbidden_tools,actual_tool_sequence,missing_required_tools,unexpected_tools,forbidden_tools_called,expected_missing_fields,actual_missing_fields,error_codes,secondary_failures
REF-001,normal,RETURN_REFUND,RETURN_REFUND,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,48131.328,4,False,True,POL-RETURN-001,,False,False,lookup_customer|lookup_order|search_knowledge|evaluate_refund,,list_customer_orders,lookup_customer|lookup_order|search_knowledge|evaluate_refund,,,,,,,
REF-002,normal,RETURN_REFUND,RETURN_REFUND,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,18376.723,4,False,True,POL-REFUND-004,,False,False,lookup_customer|lookup_order|search_knowledge|evaluate_refund,,list_customer_orders,lookup_customer|lookup_order|search_knowledge|evaluate_refund,,,,,,,
REF-003,normal,RETURN_REFUND,RETURN_REFUND,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,26737.353,4,False,True,POL-REFUND-004,,False,False,lookup_customer|lookup_order|search_knowledge|evaluate_refund,,list_customer_orders,lookup_customer|lookup_order|search_knowledge|evaluate_refund,,,,,,,
REF-004,normal,RETURN_REFUND,RETURN_REFUND,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,32753.771,4,False,True,POL-REFUND-004,,False,False,lookup_customer|lookup_order|search_knowledge|evaluate_refund,,list_customer_orders,lookup_customer|lookup_order|search_knowledge|evaluate_refund,,,,,,,
REF-005,escalation-critical,RETURN_REFUND,RETURN_REFUND,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,True,True,True,False,True,True,True,ESCALATED,22424.991,4,False,True,POL-REFUND-004,,False,False,lookup_customer|lookup_order|search_knowledge|evaluate_refund,,list_customer_orders,lookup_customer|lookup_order|search_knowledge|evaluate_refund,,,,,,,
REF-006,escalation-critical,RETURN_REFUND,RETURN_REFUND,ESCALATE_TO_HUMAN,NEED_MORE_INFO,True,False,True,False,True,False,False,NEED_MORE_INFO,29079.904,4,False,True,POL-REFUND-004,DECISION_ERROR,True,True,lookup_customer|lookup_order|search_knowledge|evaluate_refund,,list_customer_orders,lookup_customer|lookup_order|search_knowledge|evaluate_refund,,,,,reason_code,,MISSING_INFO_ROUTING_ERROR
REF-007,escalation-critical,RETURN_REFUND,RETURN_REFUND,ESCALATE_TO_HUMAN,NEED_MORE_INFO,True,False,True,False,True,False,False,NEED_MORE_INFO,24971.681,4,False,True,POL-REFUND-004,DECISION_ERROR,True,True,lookup_customer|lookup_order|search_knowledge|evaluate_refund,,list_customer_orders,lookup_customer|lookup_order|search_knowledge|evaluate_refund,,,,,reason_code,,MISSING_INFO_ROUTING_ERROR
REF-008,escalation-critical,RETURN_REFUND,RETURN_REFUND,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,True,True,True,False,True,True,True,ESCALATED,18815.979,4,False,True,POL-REFUND-004,,False,False,lookup_customer|lookup_order|search_knowledge|evaluate_refund,,list_customer_orders,lookup_customer|lookup_order|search_knowledge|evaluate_refund,,,,,,,
REF-009,escalation-critical,RETURN_REFUND,RETURN_REFUND,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,True,True,True,False,True,True,True,ESCALATED,28517.034,4,False,True,POL-REFUND-004,,False,False,lookup_customer|lookup_order|search_knowledge|evaluate_refund,,list_customer_orders,lookup_customer|lookup_order|search_knowledge|evaluate_refund,,,,,,,
REF-010,escalation-critical,RETURN_REFUND,RETURN_REFUND,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,True,True,True,False,True,True,True,ESCALATED,15912.55,4,False,True,POL-RETURN-001,,False,False,lookup_customer|lookup_order|search_knowledge|evaluate_refund,,list_customer_orders,lookup_customer|lookup_order|search_knowledge|evaluate_refund,,,,,,,
